iMSMS_ID,Flavobacteriia,Sphingobacteriia,Gammaproteobacteria,Tissierellia,Actinobacteria,Thermoprotei,Methanobacteria,Thermoplasmata,Clostridia,Deinococci,Thermomicrobia,Saprospiria,Bacteroidia,Fusobacteriia,Verrucomicrobiae,Planctomycetia,Spirochaetia,Chlamydiia,Fibrobacteria,Methanomicrobia,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Anaerolineae,Epsilonproteobacteria,Dehalococcoidia,Mollicutes,Ktedonobacteria,Opitutae,Erysipelotrichia,Synergistia,Deferribacteres,Cytophagia,Coriobacteriia,Negativicutes,Bacilli
71401-0001,0.000249691171445843,4.77877840087738E-06,0.00426685176468339,0.000424713930377977,0.00220660092660513,0,0.00622913764554367,0.00324658257609607,0.359849181753668,0,0,3.58408380065804E-06,0.538915384560245,2.38938920043869E-06,0.0507010467914087,5.97347300109673E-07,0.000160089076429392,1.79204190032902E-06,0.000107522514019741,4.12169637075674E-05,5.61506462103093E-05,0.00538866999428936,0.000425908624978197,0,9.73676099178767E-05,0,5.97347300109673E-06,0,6.5708203012064E-06,0.0104541750992194,0.000229381363242114,0,1.79204190032902E-06,0.00463362300695073,0.0041623159871642,0.0081269100179921
71401-0002,0.000147472218470978,2.48548682816255E-06,0.000806126227934055,0.00145235280325632,0.00306791924156198,3.31398243755007E-06,1.49129209689753E-05,0,0.769605312976644,0,0,1.65699121877504E-06,0.155992467317919,4.14247804693759E-06,0.000155757174564853,0,0.000222865318925242,4.97097365632511E-06,0.000109361420439152,0,9.1134517032627E-06,0.00435125894050324,0.00131316554087922,0,0.000296601428160731,0,0,0,0,0.0187339427194706,8.28495609387518E-06,0,0,0.0062990521181733,0.0323660094763328,0.0050314538358104
71401-0003,0.000150318081334494,0,0.00928524441857932,0.00112531701255914,0.000837092434587501,4.6888208856631E-05,0.00499221517826483,0,0.519477224052548,0,0,0,0.371146375334596,1.3790649663715E-06,0.0676596853801186,4.1371948991145E-06,6.75741833522035E-05,4.1371948991145E-05,4.6888208856631E-05,1.3790649663715E-06,0.00365452216088448,0.00293051305353944,0.000307531487500845,0,0.000143422756502636,0,8.27438979822901E-05,0,0,0.00783860526885561,8.82601578477761E-05,0,1.3790649663715E-06,0.000988789580888366,0.00632025474088059,0.00276088806267574
71401-0004,0.000185296842600626,2.2059147928646E-06,0.00730010735451992,0.000260297945558023,0.00201988264533302,3.67652465477433E-05,1.25001838262327E-05,1.47060986190973E-06,0.395681554140502,0,0,0,0.515951705172135,3.67652465477433E-06,0.034246091854292,3.67652465477433E-06,9.04425065074486E-05,3.52946366858336E-05,7.57364078883513E-05,1.47060986190973E-06,1.47060986190973E-05,0.00314710510448683,0.00077207017750261,0,1.76473183429168E-05,0,0.000341181487963058,7.35304930954867E-07,0,0.0049787496874954,3.75005514786982E-05,0,1.47060986190973E-06,0.00209414844335946,0.00830379858527331,0.0243827115104634
71401-0005,0.000190536420834144,1.05403126418888E-05,6.97282220924953E-05,0.00544042290977492,0.003945320101187,0.000123240578582085,0.00246481157164169,0,0.456436887851074,3.24317312058118E-06,0,4.05396640072647E-06,0.48153093987157,2.756697152494E-05,0.000778361548939482,4.05396640072647E-06,5.35123564895894E-05,9.81059868975806E-05,4.54044236881365E-05,0,1.29726924823247E-05,8.43225011351106E-05,9.72951936174353E-06,1.62158656029059E-06,1.378348576247E-05,0,9.72951936174353E-06,0,0,0.0264545631445807,1.13511059220341E-05,0,0,0.0139010507880911,0.00351154569630927,0.00476259972757346
71401-0008,6.97034119820165E-05,0,0.000528488984289879,0.000230249795317645,0.000237677208069827,0,0.00236134591575143,0,0.656627280429967,0,0,0,0.306631022703315,0,0.000906144355766215,5.71339442475545E-07,7.14174303094432E-05,2.28535776990218E-06,3.54230454334838E-05,1.14267888495109E-06,0.00344689085645496,0.00603505853086918,0.000283955702910346,1.14267888495109E-06,7.37027880793453E-05,0,1.14267888495109E-06,0,0,0.00999101283056986,0.000358801169874642,0,5.71339442475545E-07,0.00179229183104579,0.00951851511164258,0.000794161825041008
71401-0009,0.000195528905689891,9.11556669882942E-07,0.00460791896625827,0.00220323247110707,0.0199877031005233,8.20401002894648E-05,0,4.55778334941471E-07,0.27757584265438,9.11556669882942E-07,0,0,0.650175087247368,9.25230019931187E-05,2.55235867567224E-05,6.3808966891806E-06,5.33260651881521E-05,6.24416318869816E-05,4.46662768242642E-05,5.01356168435618E-06,0.0104728745802851,0.0124937957174156,9.11556669882942E-07,0,0.000146304845516212,0,1.82311333976588E-06,0,0,0.0044224171839371,1.18502367084783E-05,0,9.11556669882942E-07,0.00349901027734567,0.0126341754445776,0.00119641812922136
71401-0010,0.000235726670969865,1.42385237498576E-05,0.0130678006859804,0.000197757274303578,0.0404579742061232,2.37308729164294E-05,7.91029097214312E-06,0,0.603227715128273,0,0,6.3282327777145E-06,0.286396830821025,9.49234916657174E-06,4.74617458328587E-06,3.16411638885725E-06,9.01773170824316E-05,3.32232220830011E-05,0.000164534052220577,1.58205819442862E-06,0.00831055169533356,0.00159471465998405,2.05667565275721E-05,0,6.96105605548595E-05,0,1.74026401387149E-05,0,0,0.0208420346534027,1.42385237498576E-05,0,7.91029097214312E-06,0.0144536836642999,0.00801628887116984,0.00271006568705623
71401-0011,0.000238253406322965,4.67163541809736E-06,0.00153696805255403,0.00125947290871905,0.00295247358423753,2.42925041741062E-05,0.000104644633365381,1.86865416723894E-06,0.565229578179352,0,0,7.47461666895577E-06,0.35671206561966,9.34327083619471E-07,5.97969333516461E-05,6.5402895853363E-06,0.000597969333516461,2.33581770904868E-05,6.3534241686124E-05,3.73730833447788E-06,2.98984666758231E-05,0.00418204802628075,1.49492333379115E-05,1.86865416723894E-05,2.80298125085841E-05,0,0.00015883560421531,0,1.86865416723894E-06,0.0136822858125235,0.00459595492432418,0,1.86865416723894E-06,0.00704762919174167,0.0297106669320156,0.011699643741083
71401-0013,0.00040966903387794,1.26701763055033E-05,0.0101239987921099,0.000140955711398724,0.00485320544902049,6.33508815275165E-06,0.00430785994387112,0,0.364393214698249,0,0,7.39093617821025E-06,0.565531207700088,6.86301216548095E-06,0.0091320295721915,2.11169605091722E-06,0.000110336118660424,3.69546808910513E-06,8.39399180239593E-05,2.11169605091722E-06,2.48124285982773E-05,0.000909085149919861,0.00272355998167048,1.05584802545861E-06,5.22644772602011E-05,0,3.16754407637582E-06,0,0,0.00818546181736786,0.000125117991016845,0,1.58377203818791E-06,0.00415634575221781,0.019584397100219,0.0051055531271051
