iMSMS_ID,Cyanobacteria,Proteobacteria,Firmicutes,Deinococcus-Thermus,Chloroflexi,Deferribacteres,Actinobacteria,Planctomycetes,Spirochaetes,Chlamydiae,Crenarchaeota,Euryarchaeota,Fusobacteria,Synergistetes,Tenericutes,Fibrobacteres,Verrucomicrobia,Candidatus Saccharibacteria,Bacteroidetes
71401-0001,0,0.020566373855888,0.385192725655899,0,0,0,0.00669749809131835,5.85036520904817E-07,0.000156789787602491,1.75510956271445E-06,0,0.00932021681453465,2.34014608361927E-06,0.00022465402402745,5.26532868814336E-06,0.000106476646804677,0.0496625801865681,1.17007304180963E-06,0.52806156924346
71401-0002,0,0.00672498219446441,0.828457440246596,0,0,0,0.00929671012917032,0,0.000221232751658423,4.93455951654476E-06,3.28970634436317E-06,1.48036785496343E-05,4.11213293045396E-06,8.22426586090793E-06,0,0.000108560309363985,0.000154616198185069,0,0.155001093827359
71401-0003,0,0.0159837067426239,0.554203245897458,0,0,0,0.00176032012583964,3.98563047359918E-06,6.50986310687867E-05,3.98563047359918E-05,4.51704787007907E-05,0.00481065598163421,1.32854349119973E-06,8.50267834367826E-05,7.97126094719837E-05,4.51704787007907E-05,0.0651810007652411,0,0.357695721027124
71401-0004,0,0.0104507067610106,0.474694627961659,0,6.8193845096317E-07,0,0.00381680951004086,3.40969225481585E-06,8.38784294684699E-05,3.27330456462322E-05,3.40969225481585E-05,1.43207074702266E-05,3.40969225481585E-06,3.47788609991217E-05,0.000317101379697874,7.02396604492065E-05,0.0317606014151587,1.36387690192634E-06,0.478681240145989
71401-0005,0,0.000190676100285933,0.498373193525738,3.23179830993107E-06,1.61589915496554E-06,0,0.0177821622508183,4.03974788741384E-06,5.33246721138627E-05,9.7761898875415E-05,0.000122808335777381,0.00245616671554762,2.74702856344141E-05,1.13112940847588E-05,9.69539492979322E-06,4.5245176339035E-05,0.000775631594383458,8.07949577482768E-07,0.480044857360542
71401-0008,0,0.0102199602528952,0.681876220984895,0,1.12598030660444E-06,0,0.00200030401468278,5.62990153302219E-07,7.03737691627773E-05,2.25196061320887E-06,0,0.00232796428390467,0,0.000353557816273793,1.12598030660444E-06,3.49053895047376E-05,0.000892902383137319,0,0.302218744194164
71401-0009,4.49019655386395E-07,0.0273646048582131,0.308386699319376,8.9803931077279E-07,4.49019655386395E-07,0,0.0231379828420609,6.28627517540953E-06,5.25352996802082E-05,6.15156927879361E-05,8.08235379695511E-05,5.38823586463674E-06,9.11509900434382E-05,1.16745110400463E-05,1.79607862154558E-06,4.40039262278667E-05,2.51451007016381E-05,0,0.640728597253616
71401-0010,4.70238599065166E-06,0.0232705408057382,0.637939790649776,0,0,0,0.0544050384498428,3.13492399376777E-06,8.93453338223815E-05,3.29167019345616E-05,2.35119299532583E-05,9.40477198130331E-06,9.40477198130331E-06,1.4107157971955E-05,1.72420819657227E-05,0.000163016047675924,4.70238599065166E-06,0,0.284013141601382
71401-0011,0,0.00540354634938463,0.647346768189951,0,1.7413942473041E-05,0,0.00931645922307696,6.09487986556436E-06,0.000556375462013661,2.17674280913013E-05,2.26381252149534E-05,0.000102742260590942,8.70697123652052E-07,0.00428295915124444,0.000148018511020849,5.92074044083395E-05,5.83367072846875E-05,1.7413942473041E-06,0.332655060274008
71401-0013,3.62669496179536E-06,0.0136664228146054,0.408530608269279,0,1.03619856051296E-06,0,0.00884032801901632,2.07239712102592E-06,0.000108282749573604,3.62669496179536E-06,6.21719136307776E-06,0.0042297625240139,6.73529064333424E-06,0.000122789529420786,3.10859568153888E-06,8.23777855607803E-05,0.00896208134987659,5.1809928025648E-07,0.55543040579608
